#timestamp(s) translation_x(m) translation_y(m) translation_z(m)
1640241943.000000000 848.78 -1899.48 3430.54 
1640241943.099999905 848.77 -1899.48 3430.52 
1640241943.200000048 848.75 -1899.47 3430.50 
1640241943.299999952 848.73 -1899.46 3430.46 
1640241943.400000095 848.71 -1899.44 3430.42 
1640241943.500000000 848.67 -1899.43 3430.37 
1640241943.599999905 848.64 -1899.41 3430.32 
1640241943.700000048 848.60 -1899.38 3430.25 
1640241943.799999952 848.55 -1899.36 3430.18 
1640241943.900000095 848.49 -1899.33 3430.10 
1640241944.000000000 848.44 -1899.30 3430.01 
1640241944.099999905 848.37 -1899.26 3429.91 
1640241944.200000048 848.30 -1899.22 3429.80 
1640241944.299999952 848.22 -1899.18 3429.68 
1640241944.400000095 848.14 -1899.14 3429.55 
1640241944.500000000 848.05 -1899.09 3429.41 
1640241944.599999905 847.95 -1899.04 3429.26 
1640241944.700000048 847.85 -1898.99 3429.10 
1640241944.799999952 847.74 -1898.93 3428.93 
1640241944.900000095 847.62 -1898.87 3428.75 
1640241945.000000000 847.50 -1898.80 3428.56 
1640241945.099999905 847.37 -1898.74 3428.36 
1640241945.200000048 847.23 -1898.66 3428.15 
1640241945.299999952 847.08 -1898.59 3427.92 
1640241945.400000095 846.93 -1898.51 3427.69 
1640241945.500000000 846.77 -1898.42 3427.44 
1640241945.599999905 846.60 -1898.34 3427.18 
1640241945.700000048 846.43 -1898.25 3426.92 
1640241945.799999952 846.25 -1898.15 3426.65 
1640241945.900000095 846.06 -1898.06 3426.37 
1640241946.000000000 845.87 -1897.96 3426.08 
1640241946.099999905 845.67 -1897.87 3425.79 
1640241946.200000048 845.47 -1897.76 3425.49 
1640241946.299999952 845.27 -1897.66 3425.18 
1640241946.400000095 845.05 -1897.56 3424.85 
1640241946.500000000 844.83 -1897.45 3424.53 
1640241946.599999905 844.60 -1897.33 3424.19 
1640241946.700000048 844.37 -1897.22 3423.83 
1640241946.799999952 844.12 -1897.10 3423.46 
1640241946.900000095 843.87 -1896.98 3423.08 
1640241947.000000000 843.60 -1896.85 3422.68 
1640241947.099999905 843.33 -1896.72 3422.28 
1640241947.200000048 843.05 -1896.59 3421.86 
1640241947.299999952 842.77 -1896.45 3421.42 
1640241947.400000095 842.47 -1896.30 3420.98 
1640241947.500000000 842.17 -1896.16 3420.52 
1640241947.599999905 841.85 -1896.01 3420.05 
1640241947.700000048 841.53 -1895.86 3419.57 
1640241947.799999952 841.21 -1895.70 3419.08 
1640241947.900000095 840.88 -1895.54 3418.59 
1640241948.000000000 840.54 -1895.38 3418.09 
1640241948.099999905 840.20 -1895.22 3417.58 
1640241948.200000048 839.86 -1895.05 3417.08 
1640241948.299999952 839.52 -1894.89 3416.57 
1640241948.400000095 839.18 -1894.72 3416.07 
1640241948.500000000 838.84 -1894.56 3415.56 
1640241948.599999905 838.51 -1894.39 3415.06 
1640241948.700000048 838.17 -1894.24 3414.55 
1640241948.799999952 837.83 -1894.08 3414.05 
1640241948.900000095 837.50 -1893.92 3413.55 
1640241949.000000000 837.16 -1893.76 3413.05 
1640241949.099999905 836.83 -1893.60 3412.56 
1640241949.200000048 836.50 -1893.45 3412.07 
1640241949.299999952 836.17 -1893.29 3411.58 
1640241949.400000095 835.83 -1893.14 3411.09 
1640241949.500000000 835.49 -1892.98 3410.59 
1640241949.599999905 835.14 -1892.82 3410.10 
1640241949.700000048 834.79 -1892.66 3409.59 
1640241949.799999952 834.43 -1892.50 3409.08 
1640241949.900000095 834.07 -1892.35 3408.57 
1640241950.000000000 833.71 -1892.18 3408.06 
1640241950.099999905 833.34 -1892.02 3407.54 
1640241950.200000048 832.97 -1891.87 3407.02 
1640241950.299999952 832.59 -1891.71 3406.49 
1640241950.400000095 832.21 -1891.55 3405.96 
1640241950.500000000 831.82 -1891.39 3405.42 
1640241950.599999905 831.43 -1891.24 3404.89 
1640241950.700000048 831.03 -1891.08 3404.35 
1640241950.799999952 830.63 -1890.92 3403.80 
1640241950.900000095 830.22 -1890.77 3403.24 
1640241951.000000000 829.81 -1890.61 3402.69 
1640241951.099999905 829.40 -1890.46 3402.13 
1640241951.200000048 828.98 -1890.30 3401.57 
1640241951.299999952 828.55 -1890.14 3401.01 
1640241951.400000095 828.12 -1889.99 3400.45 
1640241951.500000000 827.69 -1889.83 3399.88 
1640241951.599999905 827.26 -1889.68 3399.30 
1640241951.700000048 826.82 -1889.51 3398.71 
1640241951.799999952 826.38 -1889.36 3398.12 
1640241951.900000095 825.93 -1889.19 3397.54 
1640241952.000000000 825.48 -1889.02 3396.94 
1640241952.099999905 825.03 -1888.85 3396.34 
1640241952.200000048 824.58 -1888.68 3395.74 
1640241952.299999952 824.12 -1888.50 3395.14 
1640241952.400000095 823.66 -1888.32 3394.52 
1640241952.500000000 823.19 -1888.13 3393.90 
1640241952.599999905 822.73 -1887.95 3393.28 
1640241952.700000048 822.26 -1887.76 3392.65 
1640241952.799999952 821.79 -1887.57 3392.01 
1640241952.900000095 821.31 -1887.38 3391.37 
1640241953.000000000 820.84 -1887.18 3390.72 
1640241953.099999905 820.36 -1886.98 3390.06 
1640241953.200000048 819.88 -1886.77 3389.41 
1640241953.299999952 819.40 -1886.56 3388.74 
1640241953.400000095 818.91 -1886.35 3388.06 
1640241953.500000000 818.42 -1886.13 3387.38 
1640241953.599999905 817.93 -1885.92 3386.69 
1640241953.700000048 817.43 -1885.70 3386.00 
1640241953.799999952 816.94 -1885.47 3385.31 
1640241953.900000095 816.45 -1885.23 3384.61 
1640241954.000000000 815.95 -1885.01 3383.90 
1640241954.099999905 815.46 -1884.77 3383.17 
1640241954.200000048 814.96 -1884.54 3382.45 
1640241954.299999952 814.46 -1884.30 3381.73 
1640241954.400000095 813.96 -1884.05 3381.00 
1640241954.500000000 813.46 -1883.81 3380.26 
1640241954.599999905 812.95 -1883.56 3379.51 
1640241954.700000048 812.44 -1883.31 3378.75 
1640241954.799999952 811.93 -1883.06 3378.00 
1640241954.900000095 811.43 -1882.81 3377.24 
1640241955.000000000 810.91 -1882.55 3376.48 
1640241955.099999905 810.40 -1882.30 3375.70 
1640241955.200000048 809.88 -1882.05 3374.92 
1640241955.299999952 809.37 -1881.79 3374.13 
1640241955.400000095 808.85 -1881.54 3373.35 
1640241955.500000000 808.32 -1881.28 3372.55 
1640241955.599999905 807.80 -1881.03 3371.76 
1640241955.700000048 807.28 -1880.77 3370.97 
1640241955.799999952 806.76 -1880.51 3370.17 
1640241955.900000095 806.25 -1880.25 3369.38 
1640241956.000000000 805.73 -1880.00 3368.59 
1640241956.099999905 805.22 -1879.75 3367.81 
1640241956.200000048 804.71 -1879.49 3367.02 
1640241956.299999952 804.21 -1879.24 3366.23 
1640241956.400000095 803.70 -1878.99 3365.43 
1640241956.500000000 803.20 -1878.74 3364.64 
1640241956.599999905 802.69 -1878.49 3363.85 
1640241956.700000048 802.20 -1878.24 3363.06 
1640241956.799999952 801.70 -1878.00 3362.28 
1640241956.900000095 801.20 -1877.75 3361.50 
1640241957.000000000 800.70 -1877.51 3360.71 
1640241957.099999905 800.20 -1877.25 3359.92 
1640241957.200000048 799.70 -1877.00 3359.13 
1640241957.299999952 799.19 -1876.75 3358.34 
1640241957.400000095 798.69 -1876.50 3357.53 
1640241957.500000000 798.17 -1876.24 3356.73 
1640241957.599999905 797.66 -1875.98 3355.92 
1640241957.700000048 797.15 -1875.73 3355.11 
1640241957.799999952 796.63 -1875.47 3354.29 
1640241957.900000095 796.12 -1875.21 3353.48 
1640241958.000000000 795.60 -1874.95 3352.65 
1640241958.099999905 795.07 -1874.70 3351.80 
1640241958.200000048 794.54 -1874.44 3350.96 
1640241958.299999952 794.01 -1874.17 3350.11 
1640241958.400000095 793.48 -1873.91 3349.26 
1640241958.500000000 792.94 -1873.65 3348.39 
1640241958.599999905 792.40 -1873.39 3347.52 
1640241958.700000048 791.86 -1873.12 3346.65 
1640241958.799999952 791.32 -1872.86 3345.79 
1640241958.900000095 790.78 -1872.59 3344.92 
1640241959.000000000 790.24 -1872.33 3344.06 
1640241959.099999905 789.70 -1872.07 3343.16 
1640241959.200000048 789.15 -1871.83 3342.21 
1640241959.299999952 788.59 -1871.58 3341.26 
1640241959.400000095 788.03 -1871.31 3340.35 
1640241959.500000000 787.47 -1871.03 3339.46 
1640241959.599999905 786.90 -1870.76 3338.56 
1640241959.700000048 786.34 -1870.49 3337.65 
1640241959.799999952 785.78 -1870.21 3336.73 
1640241959.900000095 785.20 -1869.95 3335.79 
1640241960.000000000 784.63 -1869.67 3334.85 
1640241960.099999905 784.05 -1869.40 3333.91 
1640241960.200000048 783.47 -1869.12 3332.96 
1640241960.299999952 782.89 -1868.85 3332.01 
1640241960.400000095 782.30 -1868.57 3331.05 
1640241960.500000000 781.70 -1868.29 3330.09 
1640241960.599999905 781.10 -1868.01 3329.13 
1640241960.700000048 780.50 -1867.73 3328.16 
1640241960.799999952 779.89 -1867.46 3327.19 
1640241960.900000095 779.28 -1867.18 3326.21 
1640241961.000000000 778.66 -1866.90 3325.22 
1640241961.099999905 778.05 -1866.62 3324.23 
1640241961.200000048 777.42 -1866.34 3323.23 
1640241961.299999952 776.80 -1866.05 3322.23 
1640241961.400000095 776.17 -1865.76 3321.24 
1640241961.500000000 775.54 -1865.48 3320.24 
1640241961.599999905 774.90 -1865.19 3319.23 
1640241961.700000048 774.27 -1864.90 3318.22 
1640241961.799999952 773.63 -1864.61 3317.22 
1640241961.900000095 772.99 -1864.32 3316.21 
1640241962.000000000 772.35 -1864.03 3315.20 
1640241962.099999905 771.71 -1863.74 3314.18 
1640241962.200000048 771.07 -1863.44 3313.17 
1640241962.299999952 770.42 -1863.15 3312.15 
1640241962.400000095 769.78 -1862.85 3311.15 
1640241962.500000000 769.14 -1862.55 3310.13 
1640241962.599999905 768.51 -1862.26 3309.11 
1640241962.700000048 767.87 -1861.96 3308.08 
1640241962.799999952 767.22 -1861.67 3307.04 
1640241962.900000095 766.58 -1861.38 3306.00 
1640241963.000000000 765.94 -1861.07 3304.98 
1640241963.099999905 765.30 -1860.78 3303.95 
1640241963.200000048 764.66 -1860.47 3302.92 
1640241963.299999952 764.01 -1860.18 3301.87 
1640241963.400000095 763.37 -1859.87 3300.83 
1640241963.500000000 762.72 -1859.57 3299.78 
1640241963.599999905 762.07 -1859.25 3298.74 
1640241963.700000048 761.43 -1858.95 3297.70 
1640241963.799999952 760.78 -1858.63 3296.66 
1640241963.900000095 760.14 -1858.32 3295.60 
1640241964.000000000 759.49 -1858.01 3294.54 
1640241964.099999905 758.84 -1857.70 3293.49 
1640241964.200000048 758.19 -1857.38 3292.43 
1640241964.299999952 757.54 -1857.07 3291.38 
1640241964.400000095 756.89 -1856.75 3290.33 
1640241964.500000000 756.24 -1856.44 3289.28 
1640241964.599999905 755.59 -1856.12 3288.23 
1640241964.700000048 754.95 -1855.81 3287.18 
1640241964.799999952 754.30 -1855.50 3286.13 
1640241964.900000095 753.66 -1855.19 3285.10 
1640241965.000000000 753.02 -1854.88 3284.06 
1640241965.099999905 752.37 -1854.58 3283.01 
1640241965.200000048 751.73 -1854.27 3281.96 
1640241965.299999952 751.08 -1853.96 3280.93 
1640241965.400000095 750.44 -1853.65 3279.90 
1640241965.500000000 749.80 -1853.34 3278.86 
1640241965.599999905 749.16 -1853.04 3277.82 
